plot,bush,x,y
1,001-1,375,35
1,001-2,384.5,28.1
1,001-3,380.9,16.9
1,001-4,369.1,16.9
1,001-5,365.5,28.1
2,002-1,325,35
2,002-2,334.5,28.1
2,002-3,330.9,16.9
2,002-4,319.1,16.9
2,002-5,315.5,28.1
3,003-1,275,35
3,003-2,284.5,28.1
3,003-3,280.9,16.9
3,003-4,269.1,16.9
3,003-5,265.5,28.1
4,004-1,225,35
4,004-2,234.5,28.1
4,004-3,230.9,16.9
4,004-4,219.1,16.9
4,004-5,215.5,28.1
5,005-1,175,35
5,005-2,184.5,28.1
5,005-3,180.9,16.9
5,005-4,169.1,16.9
5,005-5,165.5,28.1
6,006-1,125,35
6,006-2,134.5,28.1
6,006-3,130.9,16.9
6,006-4,119.1,16.9
6,006-5,115.5,28.1
7,007-1,75,35
7,007-2,84.5,28.1
7,007-3,80.9,16.9
7,007-4,69.1,16.9
7,007-5,65.5,28.1
8,008-1,25,35
8,008-2,34.5,28.1
8,008-3,30.9,16.9
8,008-4,19.1,16.9
8,008-5,15.5,28.1
9,009-1,25,85
9,009-2,34.5,78.1
9,009-3,30.9,66.9
9,009-4,19.1,66.9
9,009-5,15.5,78.1
10,010-1,75,85
10,010-2,84.5,78.1
10,010-3,80.9,66.9
10,010-4,69.1,66.9
10,010-5,65.5,78.1
11,011-1,125,85
11,011-2,134.5,78.1
11,011-3,130.9,66.9
11,011-4,119.1,66.9
11,011-5,115.5,78.1
12,012-1,175,85
12,012-2,184.5,78.1
12,012-3,180.9,66.9
12,012-4,169.1,66.9
12,012-5,165.5,78.1
13,013-1,225,85
13,013-2,234.5,78.1
13,013-3,230.9,66.9
13,013-4,219.1,66.9
13,013-5,215.5,78.1
14,014-1,275,85
14,014-2,284.5,78.1
14,014-3,280.9,66.9
14,014-4,269.1,66.9
14,014-5,265.5,78.1
15,015-1,325,85
15,015-2,334.5,78.1
15,015-3,330.9,66.9
15,015-4,319.1,66.9
15,015-5,315.5,78.1
16,016-1,375,85
16,016-2,384.5,78.1
16,016-3,380.9,66.9
16,016-4,369.1,66.9
16,016-5,365.5,78.1
17,017-1,675,135
17,017-2,684.5,128.1
17,017-3,680.9,116.9
17,017-4,669.1,116.9
17,017-5,665.5,128.1
18,018-1,625,135
18,018-2,634.5,128.1
18,018-3,630.9,116.9
18,018-4,619.1,116.9
18,018-5,615.5,128.1
19,019-1,575,135
19,019-2,584.5,128.1
19,019-3,580.9,116.9
19,019-4,569.1,116.9
19,019-5,565.5,128.1
20,020-1,525,135
20,020-2,534.5,128.1
20,020-3,530.9,116.9
20,020-4,519.1,116.9
20,020-5,515.5,128.1
21,021-1,475,135
21,021-2,484.5,128.1
21,021-3,480.9,116.9
21,021-4,469.1,116.9
21,021-5,465.5,128.1
22,022-1,425,135
22,022-2,434.5,128.1
22,022-3,430.9,116.9
22,022-4,419.1,116.9
22,022-5,415.5,128.1
23,023-1,375,135
23,023-2,384.5,128.1
23,023-3,380.9,116.9
23,023-4,369.1,116.9
23,023-5,365.5,128.1
24,024-1,325,135
24,024-2,334.5,128.1
24,024-3,330.9,116.9
24,024-4,319.1,116.9
24,024-5,315.5,128.1
25,025-1,275,135
25,025-2,284.5,128.1
25,025-3,280.9,116.9
25,025-4,269.1,116.9
25,025-5,265.5,128.1
26,026-1,225,135
26,026-2,234.5,128.1
26,026-3,230.9,116.9
26,026-4,219.1,116.9
26,026-5,215.5,128.1
27,027-1,175,135
27,027-2,184.5,128.1
27,027-3,180.9,116.9
27,027-4,169.1,116.9
27,027-5,165.5,128.1
28,028-1,125,135
28,028-2,134.5,128.1
28,028-3,130.9,116.9
28,028-4,119.1,116.9
28,028-5,115.5,128.1
29,029-1,75,135
29,029-2,84.5,128.1
29,029-3,80.9,116.9
29,029-4,69.1,116.9
29,029-5,65.5,128.1
30,030-1,25,135
30,030-2,34.5,128.1
30,030-3,30.9,116.9
30,030-4,19.1,116.9
30,030-5,15.5,128.1
31,031-1,25,185
31,031-2,34.5,178.1
31,031-3,30.9,166.9
31,031-4,19.1,166.9
31,031-5,15.5,178.1
32,032-1,75,185
32,032-2,84.5,178.1
32,032-3,80.9,166.9
32,032-4,69.1,166.9
32,032-5,65.5,178.1
33,033-1,125,185
33,033-2,134.5,178.1
33,033-3,130.9,166.9
33,033-4,119.1,166.9
33,033-5,115.5,178.1
34,034-1,175,185
34,034-2,184.5,178.1
34,034-3,180.9,166.9
34,034-4,169.1,166.9
34,034-5,165.5,178.1
35,035-1,225,185
35,035-2,234.5,178.1
35,035-3,230.9,166.9
35,035-4,219.1,166.9
35,035-5,215.5,178.1
36,036-1,275,185
36,036-2,284.5,178.1
36,036-3,280.9,166.9
36,036-4,269.1,166.9
36,036-5,265.5,178.1
37,037-1,325,185
37,037-2,334.5,178.1
37,037-3,330.9,166.9
37,037-4,319.1,166.9
37,037-5,315.5,178.1
38,038-1,375,185
38,038-2,384.5,178.1
38,038-3,380.9,166.9
38,038-4,369.1,166.9
38,038-5,365.5,178.1
39,039-1,425,185
39,039-2,434.5,178.1
39,039-3,430.9,166.9
39,039-4,419.1,166.9
39,039-5,415.5,178.1
40,040-1,475,185
40,040-2,484.5,178.1
40,040-3,480.9,166.9
40,040-4,469.1,166.9
40,040-5,465.5,178.1
41,041-1,525,185
41,041-2,534.5,178.1
41,041-3,530.9,166.9
41,041-4,519.1,166.9
41,041-5,515.5,178.1
42,042-1,575,185
42,042-2,584.5,178.1
42,042-3,580.9,166.9
42,042-4,569.1,166.9
42,042-5,565.5,178.1
43,043-1,625,185
43,043-2,634.5,178.1
43,043-3,630.9,166.9
43,043-4,619.1,166.9
43,043-5,615.5,178.1
44,044-1,675,185
44,044-2,684.5,178.1
44,044-3,680.9,166.9
44,044-4,669.1,166.9
44,044-5,665.5,178.1
45,045-1,675,235
45,045-2,684.5,228.1
45,045-3,680.9,216.9
45,045-4,669.1,216.9
45,045-5,665.5,228.1
46,046-1,625,235
46,046-2,634.5,228.1
46,046-3,630.9,216.9
46,046-4,619.1,216.9
46,046-5,615.5,228.1
47,047-1,575,235
47,047-2,584.5,228.1
47,047-3,580.9,216.9
47,047-4,569.1,216.9
47,047-5,565.5,228.1
48,048-1,525,235
48,048-2,534.5,228.1
48,048-3,530.9,216.9
48,048-4,519.1,216.9
48,048-5,515.5,228.1
49,049-1,475,235
49,049-2,484.5,228.1
49,049-3,480.9,216.9
49,049-4,469.1,216.9
49,049-5,465.5,228.1
50,050-1,425,235
50,050-2,434.5,228.1
50,050-3,430.9,216.9
50,050-4,419.1,216.9
50,050-5,415.5,228.1
51,051-1,375,235
51,051-2,384.5,228.1
51,051-3,380.9,216.9
51,051-4,369.1,216.9
51,051-5,365.5,228.1
52,052-1,325,235
52,052-2,334.5,228.1
52,052-3,330.9,216.9
52,052-4,319.1,216.9
52,052-5,315.5,228.1
53,053-1,275,235
53,053-2,284.5,228.1
53,053-3,280.9,216.9
53,053-4,269.1,216.9
53,053-5,265.5,228.1
54,054-1,225,235
54,054-2,234.5,228.1
54,054-3,230.9,216.9
54,054-4,219.1,216.9
54,054-5,215.5,228.1
55,055-1,175,235
55,055-2,184.5,228.1
55,055-3,180.9,216.9
55,055-4,169.1,216.9
55,055-5,165.5,228.1
56,056-1,125,235
56,056-2,134.5,228.1
56,056-3,130.9,216.9
56,056-4,119.1,216.9
56,056-5,115.5,228.1
57,057-1,75,235
57,057-2,84.5,228.1
57,057-3,80.9,216.9
57,057-4,69.1,216.9
57,057-5,65.5,228.1
58,058-1,25,235
58,058-2,34.5,228.1
58,058-3,30.9,216.9
58,058-4,19.1,216.9
58,058-5,15.5,228.1
59,059-1,25,285
59,059-2,34.5,278.1
59,059-3,30.9,266.9
59,059-4,19.1,266.9
59,059-5,15.5,278.1
60,060-1,75,285
60,060-2,84.5,278.1
60,060-3,80.9,266.9
60,060-4,69.1,266.9
60,060-5,65.5,278.1
61,061-1,125,285
61,061-2,134.5,278.1
61,061-3,130.9,266.9
61,061-4,119.1,266.9
61,061-5,115.5,278.1
62,062-1,175,285
62,062-2,184.5,278.1
62,062-3,180.9,266.9
62,062-4,169.1,266.9
62,062-5,165.5,278.1
63,063-1,225,285
63,063-2,234.5,278.1
63,063-3,230.9,266.9
