date,type,ID,startTime,endTime,weightLost_g/mm2,timeDiff_s,evpRate_g/mm2/s,avgEvpRate_g/mm2/s,notes,wind_time,wind_m/s,shade_NESW,overstoryDensity_%,shadeAvg_%
6/6/2016,house,EVP-124,6:47:36,7:02:36,4.69E-06,900,5.21E-09,6.05E-09,,,,,,
6/6/2016,house,EVP-125,6:48:10,7:03:09,7.33E-06,899,8.16E-09,,,,,,,
6/6/2016,house,EVP-126,6:48:46,7:03:41,4.28E-06,895,4.78E-09,,,,,,,
6/7/2016,house,EVP-170,6:43:31,7:24:35,1.55E-05,2464,6.30E-09,5.07E-09,rained all day,,,,,
6/7/2016,house,EVP-171,6:44:08,7:25:21,1.32E-05,2473,5.35E-09,,rained all day,,,,,
6/7/2016,house,EVP-172,6:44:43,7:25:50,9.98E-06,2467,4.05E-09,,rained all day,,,,,
6/7/2016,house,EVP-173,6:45:15,7:26:23,1.32E-05,2468,5.37E-09,,rained all day,,,,,
6/7/2016,house,EVP-174,6:45:44,7:26:58,1.06E-05,2474,4.28E-09,,rained all day,,,,,
6/8/2016,house,EVP-175,6:16:37,7:10:17,2.85E-05,3220,8.86E-09,8.84E-09,,,,,,
6/8/2016,house,EVP-176,6:17:24,7:10:36,2.49E-05,3192,7.79E-09,,,,,,,
6/8/2016,house,EVP-177,6:18:09,7:11:05,2.77E-05,3176,8.72E-09,,,,,,,
6/8/2016,house,EVP-178,6:18:49,7:11:30,2.87E-05,3161,9.09E-09,,,,,,,
6/8/2016,house,EVP-179,6:19:40,7:12:01,3.06E-05,3141,9.73E-09,,,,,,,
6/8/2016,gazebo,EVP-180,6:24:16,7:16:00,5.17E-05,3104,1.67E-08,1.77E-08,,,,,,
6/8/2016,gazebo,EVP-181,6:25:32,7:14:48,4.79E-05,2956,1.62E-08,,,,,,,
6/8/2016,gazebo,EVP-182,6:26:30,7:15:19,5.36E-05,2929,1.83E-08,,,,,,,
6/8/2016,gazebo,EVP-183,6:27:22,7:16:35,5.81E-05,2953,1.97E-08,,,,,,,
6/8/2016,gazebo,EVP-184,6:28:13,7:17:07,5.17E-05,2934,1.76E-08,,,,,,,
