date,plotID,type,paperID,startTime,endTime,weightLost_g/mm2,timeDiff_s,evpRate_g/mm2/s,avgEvpRate_g/mm2/s,aspect,coffeeDensity_m,nRoya,wind_time,wind_m/s,shade_NESW,overstoryDensity_%,shadeAvg_%,treeID,treeSp,treeDistance_m,treeGBH_cm,avgTreeDist,notes,lat,lon
5/31/2016,20,new,EVP-002,10:51:00,11:29:00,4.15585E-05,2280,1.82274E-08,1.76082E-08,129,8,slide 9,11:26 AM,0,5 w,94.8,87.52,20,,2,63.5,2.983333333,,N 15.16929,W 092.34335
5/31/2016,20,new,EVP-003,10:52:00,11:31:00,4.40032E-05,2340,1.88048E-08,,,,,,,5 w,94.8,,new,,2.6,16.5,,,,
5/31/2016,20,new,EVP-004,10:53:00,11:32:00,4.70589E-05,2340,2.01107E-08,,,,,,,27 w,71.92,,7496?,,4.35,66.5,,,,
5/31/2016,20,new,EVP-005,10:55:00,11:33:00,4.09474E-05,2280,1.79594E-08,,,,,,,11 w,88.56,,,,,,,,,
5/31/2016,20,new,EVP-006,10:56:00,11:33:00,2.87243E-05,2220,1.29389E-08,,,,,,,,,,,,,,,,,
5/31/2016,16,new,EVP-007,12:00:00,12:21:00,2.07793E-05,1260,1.64915E-08,1.41277E-08,145,2,slide 10,12:15 PM,0,13 w,86.48,90.38,1634,,1.5,62.5,4.2,,N 15.16975,W 092.34211
5/31/2016,16,new,EVP-008,12:06:00,12:25:00,1.36491E-05,1140,1.19729E-08,,,,,,,4 w,95.84,,1635,,6,136.5,,,,
5/31/2016,16,new,EVP-009,12:05:00,12:24:00,1.50752E-05,1140,1.32238E-08,,,,,,,5 w,94.8,,1616,,5.1,100.5,,,,
5/31/2016,16,new,EVP-010,12:04:00,12:23:00,1.34454E-05,1140,1.17942E-08,,,,,,,15 w,84.4,,,,,,,,,
5/31/2016,16,new,EVP-011,12:03:00,12:20:00,1.74994E-05,1020,1.71563E-08,,,,,,,,,,,,,,,,,
6/1/2016,41,new,EVP-014,8:01:00,8:31:00,3.05157E-05,1800,1.69531E-08,2.30629E-08,142,6,slide 11,8:13 AM,0.7,44 w,54.24,42.8,7884,,1.7,73,7.1,cut,N 15.16878,W 092.34327
6/1/2016,41,new,EVP-015,8:03:00,8:30:00,4.70362E-05,1620,2.90347E-08,,,,,,,24 w,75.04,,new,CoXa,11.2,32.5,,,,
6/1/2016,41,new,EVP-016,8:04:00,8:28:00,3.34094E-05,1440,2.3201E-08,,,,,,,20 b,23.04,,7957,,8.4,"114.5,121",,,,
6/1/2016,41,new,,,,,,,,,,,,,16 b,18.88,,,,,,,,,
6/1/2016,48,new,EVP-017,8:40:00,9:02:19,4.3932E-05,1339,3.28096E-08,3.28809E-08,214,3,slide 12,8:53 AM,0.8,42 b,45.92,60.48,new,CoXa,3.2,"32,25,18",4.033333333,,N 15.16341,W 092.34322
6/1/2016,48,new,EVP-018,8:41:50,9:01:52,4.51684E-05,1202,3.75777E-08,,,,,,,28 b,31.36,,cannot find,canaco,2.7,"70,41,26,26,61.5,16","focal tree, #200?",,,
6/1/2016,48,new,EVP-019,8:43:05,9:01:05,3.05157E-05,1080,2.82552E-08,,,,,,,21 w,78.16,,n661,,6.2,62.5,,,,
6/1/2016,48,new,,,,,,,,,,,,,13 w,86.48,,,,,,,,,
6/1/2016,75,new,EVP-023,10:25:00,10:47:59,3.26202E-05,1379,2.3655E-08,2.53604E-08,216,2,slide 14,10:42 AM,0,15 w,84.4,57.88,NA,,1.3,103.5,5.366666667,,N 15.16766,W 092.34348
6/1/2016,75,new,EVP-024,10:27:59,10:45:02,2.73589E-05,1023,2.67438E-08,,,,,,,20 w,79.2,,1039,,7.8,127.5,,,,
6/1/2016,75,new,EVP-025,10:27:54,10:46:10,2.81481E-05,1096,2.56825E-08,,,,,,,42 b,45.92,,new,big bush,7,NA,,,,
6/1/2016,75,new,,,,,,,,,,,,,19 b,22,,,,,,,,,
6/1/2016,70,new,EVP-026,10:58:15,11:18:40,2.70958E-05,1225,2.2119E-08,2.26544E-08,148,3,slide 15,11:13 AM,0.3,15 w,84.4,66.98,new,CoXa,6.5,91.5,5.333333333,,N 15.16813,W 092.34356
6/1/2016,70,new,EVP-027,11:00:06,11:18:31,2.57805E-05,1105,2.33307E-08,,,,,,,57 b,61.52,,550,,4.1,56,,,,
6/1/2016,70,new,EVP-028,11:01:01,11:18:56,2.42021E-05,1075,2.25136E-08,,,,,,,33 b,36.56,,491,,5.4,114.5,,,,
6/1/2016,70,new,,,,,,,,,,,,,14 w,85.44,,,,,,,,,
6/1/2016,46,new,EVP-029,11:44:45,12:04:29,2.60435E-05,1184,2.19962E-08,1.81949E-08,200,1,slide 16,11:59 AM,0,25 w,74,68.28,246,,4.2,77,3.933333333,"this area has coffee planted in neat rows and more sun, less trees",N 15.16849,W 092.34413
6/1/2016,46,new,EVP-030,11:45:55,12:04:23,1.94669E-05,1108,1.75694E-08,,,,,,,13 w,86.48,,315,,2.4,106,,,,
6/1/2016,46,new,EVP-031,11:47:09,12:05:50,1.68362E-05,1121,1.50189E-08,,,,,,,31 w,67.76,,316,,5.2,"137,23,23,22",,,,
6/1/2016,46,new,,,,,,,,,,,,,41 b,44.88,,,,,,,,,
6/1/2016,47,new,EVP-032,12:27:42,12:46:21,4.28798E-05,1119,3.83197E-08,3.44875E-08,192,0,slide 17,12:41 PM,0.5,15 w,84.4,62.82,307,,3.7,44,6.166666667,check coordinates (book2 p48),N 15.16851,W 092.34365
