"quadrat","total_trees_5","total_trees_10","total_trees_15","total_trees_20","total_trees_30","total_trees_40","total_trees_50","total_trees_3","total_basal_3","total_basal_5","total_basal_10","total_basal_15","total_basal_20","total_basal_30","total_basal_40","total_basal_50"
1,1,2,13,26,78,136,195,0,0,116.731397236035,282.928150785031,2223.9619423659,4321.18641622358,21175.7856079729,43418.66850374,59481.0126915962
2,2,7,14,25,63,119,170,0,0,396.691308332403,1795.79535671293,4887.18356991828,7763.21127187883,19391.6276606988,36691.3155874253,51610.3010091807
3,1,4,11,17,46,86,133,1,670.618451310872,670.618451310872,1790.24562384731,4508.17596731282,7479.62342385468,17991.5957390001,29625.5379874442,44485.6273267337
4,2,3,6,16,40,78,114,0,0,415.891760667009,487.511485058362,3658.82014871202,8609.60203388982,27108.9744568521,37201.2010743835,73078.5656560735
5,0,2,9,20,36,72,106,0,0,0,17611.1342559895,18998.4465146363,25506.1059263805,36440.4141858387,68591.6217539439,82163.5356528638
6,1,5,11,18,38,69,120,0,0,1010.73654357183,2318.96311944688,5281.7501597604,7567.82550176678,13294.4869387429,24237.4627764018,43798.4710852862
7,2,8,18,24,47,84,126,0,0,1616.48582740259,5060.04811980811,8875.7417255028,10834.3693002678,16972.4956031687,26644.1218610418,38314.9928309315
8,0,2,8,19,40,79,125,0,0,0,76.2328304168715,1246.25243680979,2563.85244305824,6532.27431524278,18783.5754048415,29151.4735035277
9,2,6,14,23,48,74,117,0,0,45.9957785535577,267.287198752675,2626.56108218587,3656.81718375321,7767.97796242443,13658.2490893495,20299.1418786042
10,1,5,7,19,47,77,133,0,0,13.8655786421659,238.704562522802,722.097913428661,4768.49536265693,10635.8800087654,19266.5716641644,33285.1952911569
11,1,7,15,25,53,94,130,1,9.28191628111934,9.28191628111934,1074.55528842753,2401.75074619499,3881.55430847027,12504.6113012491,38901.9188596428,61189.6842451365
12,1,8,16,20,44,71,113,1,19.8657199967304,19.8657199967304,4978.12072552741,11013.0644914978,17077.7065698491,37622.802518634,46521.9065982332,79607.9727950165
13,1,5,9,19,40,69,117,0,0,260.364754502894,4700.01258219392,5903.42289564751,9494.15815125425,16068.7111813547,31919.2790272846,55124.3196033436
14,1,4,10,24,43,85,135,0,0,31.1975519448733,701.180179258093,2668.87719845515,9121.05997168579,16910.4498443791,31842.8186052991,63890.9343547913
15,1,4,8,21,45,87,143,0,0,300.981891754661,707.033898065013,1357.52959414606,3890.43754161894,11407.7512433219,26046.3072468988,48723.3576654482
16,4,16,26,37,74,127,184,2,277.913178528206,647.541780337263,2627.28682872637,6201.02035753732,13148.6779334039,24960.0182602919,40155.9507900709,61659.7762216735
17,0,1,5,12,27,50,78,0,0,0,1407.64589417627,3613.59786318189,8837.08298982578,11828.5855607467,20436.6334466172,32809.6928423295
18,1,2,4,8,25,55,82,0,0,384.379081934814,458.406024840432,568.063780630747,2454.80584224939,10351.3897522139,21675.5241715343,32306.4759474868
19,1,5,7,14,30,58,87,1,680.884740915015,680.884740915015,1972.7852027277,2177.29930460079,5223.78354216219,12324.6977789297,21406.2491275424,32876.1328690979
20,3,7,14,24,43,70,99,3,1689.92708011763,1689.92708011763,5608.10294099334,6640.99464841828,13143.3605667552,23331.0164881645,37757.8669737647,45529.408415365
21,1,6,12,18,34,53,96,0,0,539.001292247452,954.858038826981,1786.31131365408,2693.32101038992,11649.7956723255,22439.2641800482,40216.2736966016
22,0,7,17,30,62,114,173,0,0,0,3704.07506100549,5235.40981075505,8573.22000967373,15480.1267581364,23415.5516361878,47033.7186557776
23,1,5,11,19,60,104,158,0,0,864.023538156143,1208.43563078172,3533.29305354601,5723.37409162651,10995.5439195875,30262.2834922168,48954.9448189159
24,0,3,9,17,37,56,92,0,0,0,2648.09474598621,3353.70500308526,5702.34892786936,12678.0511962582,23610.1464062327,47185.0455629935
25,1,9,14,25,46,80,122,0,0,17.6669944579158,11261.6836112005,12426.0030833066,17572.9545766911,27766.8445972213,37053.9739985016,54349.7188615131
26,1,4,10,17,42,80,132,1,38.5154962282387,38.5154962282387,436.813473711154,6210.11367521088,9348.75737834435,17091.9771978214,32923.9629083706,54478.2842245427
27,1,8,15,21,45,84,128,1,25.783100780887,25.783100780887,4697.13346927338,6305.01140157885,8476.00419155962,18857.2450448999,42501.2874751375,65380.5904038186
28,2,5,13,23,54,87,144,0,0,378.678151873262,1209.32769423775,3320.0835213571,6269.40684925976,13344.2141049372,33535.832495538,60223.3010011055
29,2,4,9,23,40,68,111,0,0,1161.51277468465,1234.17973860155,2133.07969521214,4842.48251682677,11954.1970080325,19634.8235757157,28243.3887151512
30,1,8,13,20,39,72,114,1,651.759386329198,651.759386329198,1829.90862721525,1952.31787704608,2282.72115158071,8567.07901619453,13977.9468066371,24541.4487177073
31,2,5,8,14,34,61,104,1,45.8366236104659,71.6197243913529,1523.96110123612,1846.28487508469,6725.06904288129,9590.37129322688,18171.8259796562,30094.5994357246
32,0,4,8,19,42,69,123,0,0,0,3999.23029029355,7055.68797236381,12916.1286883052,21594.9901787803,28161.8194194925,44419.4268281546
33,4,8,16,21,50,93,139,1,791.007229139159,1176.21709987691,3492.79528250156,8214.79512008363,13044.9685936117,23657.7058821021,44660.9229683793,64330.0746737704
34,2,5,13,22,54,89,143,1,603.707325910893,1000.35009198565,1625.10486334573,6338.9360734736,7860.33318857651,24525.0199487067,40733.3696982566,66936.5543810117
35,1,7,12,22,50,83,119,1,375.580996680694,375.580996680694,4692.03732799558,9238.5004041933,14842.2592110149,25803.1415713212,36386.0412868555,48602.2152889644
