plotID,avgEvpRate_g/mm2/s,avgEvpRateConverted_g/mm2/s,avgEvpRateConverted2_g/mm2/s,aspect,coffeeDensity_m,wind_m/s,shadeAvg_pc,avgTreeDist,dir,tree_3m,tree_5m,tree_10m,tree_15m,tree_20m,tree_30m,tree_40m,tree_50m,tree_subset_40m,notes
1,1.23E-08,0.019705339,0.013872738,76,13,0,84.14,5.133333333,E,2,2,13,42,68,147,240,379,240,"avgEvpRate_g/mm2/s = raw evaporation rates, averaged per site (n=1-5)"
2,1.55E-08,0.03957207,0.039307597,138,11,0.5,55.54,5.166666667,S,2,3,8,20,47,102,187,288,,avgEvpRateConverted_g/mm2/s = evaporation rate standardized for daily variation
3,1.55E-08,0.039662258,0.03213282,279,12,0.4,72.44,4.176666667,W,2,2,8,21,37,84,145,240,145,avgEvpRateConverted2_g/mm2/s = evaporation rate standardized for hourly and daily variation
4,2.29E-08,0.0367639,0.04478295,115,15,0,87,3.966666667,E,2,4,11,22,37,92,162,252,,
5,2.29E-08,0.074505776,0.099247979,59,10,0,68.8,5.433333333,E,1,3,13,23,37,86,153,252,153,
6,3.31E-08,0.394858371,0.417620014,97,13,0.3,85.44,5.583333333,E,1,1,9,18,39,82,138,226,,
7,3.48E-08,0.414827673,0.453389135,169,14,0.7,80.5,3.166666667,S,1,2,10,22,34,70,146,221,146,
8,4.27E-08,0.509680738,0.557539897,243,9,0.3,69.32,5.233333333,W,1,1,8,19,38,86,149,214,,
9,1.49E-08,0.580801426,0.607302371,230,16,0.3,69.58,20.08333333,W,3,5,10,28,39,77,134,212,,
10,1.13E-08,1.082436665,0.92223576,60,11,0,76.08,3.7,E,2,3,7,20,33,84,143,231,,
11,3.78E-08,0.451412272,0.469397893,27,18,0,66.46,9.966666667,N,2,2,10,19,36,93,172,261,,
12,2.68E-08,0.319198839,0.343934419,242,12,0,76.86,3.616666667,W,1,4,13,27,51,97,166,266,,
13,1.68E-08,0.035183009,0.061055679,144,18,0,43.84,5.666666667,S,3,3,9,23,45,106,174,257,,
14,2.65E-08,0.055745409,0.065938754,206,13,0,89.6,4.1,S,2,2,11,18,36,84,169,247,,
15,9.43E-09,0.024140464,0.021394113,187,7,0,93.5,4.3,S,1,1,8,13,31,74,159,258,,
16,1.41E-08,0.060018933,0.037451114,145,2,0,90.38,4.2,S,2,3,19,45,68,143,228,335,,
17,1.80E-08,0.083385701,0.067786314,276,5,0.3,52.16,10.86666667,W,1,1,5,10,18,50,87,167,,
18,1.25E-08,0.057873055,0.085401206,309,10,0,69.84,3.716666667,W,2,3,6,15,29,58,103,170,103,
19,2.49E-08,0.039881136,0.018768308,284,15,0,29.8,4.366666667,W,2,2,4,11,24,63,123,209,,
20,1.76E-08,0.074805045,0.03701119,129,8,0,87.52,2.983333333,E,2,3,11,20,37,91,157,245,157,
21,3.21E-08,0.044432355,0.022196369,181,14,0.5,81.8,3.766666667,S,2,4,13,23,49,102,166,289,,
22,2.31E-08,0.032019438,0.017713811,216,17,0.5,86.74,5.1,S,1,2,12,32,55,134,289,398,289,
23,2.88E-08,0.059850546,0.036986343,103,4,0,87.52,3.8,E,1,2,11,21,62,141,239,344,,
24,9.36E-09,0.023953579,0.027098124,213,6,0.3,94.8,2.733333333,S,1,3,8,20,32,66,122,207,122,
25,3.13E-08,0.065771902,0.078267805,158,11,0.5,83.88,5.566666667,S,1,2,12,24,44,89,158,245,,
26,3.23E-08,0.067925485,0.081325244,186,5,0,92.98,2.666666667,S,2,2,9,23,37,85,169,246,169,
27,2.13E-08,0.231261242,0.243705791,238,15,0.5,78.42,3.533333333,W,1,2,11,21,43,94,177,270,,
28,1.56E-08,1.492561525,1.191799463,131,21,0,87.52,3.866666667,E,1,2,11,26,44,107,180,286,180,
29,2.56E-08,1,1,95,14,0,49.82,4.7,E,1,3,9,24,40,67,120,214,,
30,1.35E-08,0.527590758,0.538636942,297,18,0.3,83.36,3.316666667,W,2,3,11,23,37,76,139,227,139,
31,2.75E-08,1.071221084,1.188711782,181,18,0.5,75.56,2.35,S,2,3,9,23,39,92,138,218,,
32,2.87E-08,2.734682826,2.363257224,111,14,0.6,75.3,4.433333333,E,2,5,11,27,43,101,180,266,,
33,2.85E-08,2.719857868,2.491221182,179,21,0.6,93.24,5.233333333,S,1,3,9,23,40,88,153,241,,
34,1.27E-08,1.210726911,0.949329556,227,13,0.3,64.64,4,W,3,4,11,20,33,78,145,228,,
35,2.31E-08,0.059469198,0.062874353,223,6,0.4,79.98,4.283333333,S,1,2,8,20,32,78,134,210,,
36,3.37E-08,0.086872217,0.089767666,111,4,0.4,78.94,3.866666667,E,1,2,14,19,31,71,133,224,,
37,1.35E-08,0.072670772,0.091717932,175,6,0,51.38,6.633333333,S,1,1,12,21,35,85,154,216,,
38,6.65E-09,0.035884839,0.021561885,135,4,0,77.12,6.766666667,E,1,1,4,15,33,82,176,258,,
39,5.36E-09,0.038967532,0.023467299,172,8,0,90.38,4.7,S,2,3,11,14,41,125,229,326,,
40,3.73E-08,0.051594578,0.023901696,187,14,0.3,63.86,5.233333333,S,1,2,5,22,42,105,166,252,,
41,2.31E-08,0.035211777,0.025978937,142,6,0.7,42.8,6.6,S,1,3,10,21,38,90,150,224,,
42,3.86E-08,0.058924239,0.034687214,147,6,0.5,64.9,4.633333333,S,1,3,10,24,40,96,155,226,,
43,4.10E-08,0.062541475,0.046408939,231,3,0.6,89.08,4.766666667,W,1,3,12,27,43,95,152,224,,
44,1.46E-08,0.067885282,0.076639184,0,7,0,90.64,6.533333333,N,1,2,4,9,22,71,137,207,,
45,2.68E-08,0.12415406,0.099817443,144,8,0,84.4,3.366666667,S,1,2,14,29,55,129,183,259,,
46,1.82E-08,0.02777934,0.018461054,200,1,0,68.28,3.933333333,S,2,2,10,24,34,72,135,221,135,
47,3.45E-08,0.052654464,0.03005853,192,0,0.5,62.82,6.166666667,S,1,1,6,18,34,65,114,200,,
48,3.29E-08,0.050201471,0.031964089,214,3,0.8,60.48,5.225,S,1,1,8,18,35,74,131,209,131,
49,1.96E-08,0.04072902,0.028059578,82,7,0,39.94,8.533333333,E,2,3,11,31,53,96,167,257,,
50,3.28E-08,0.045335288,0.02130627,164,2,0,68.54,2.8,S,1,3,4,14,22,62,128,204,128,
51,2.31E-08,0.038194251,0.018662287,283,7,0,61,5.633333333,W,1,1,8,18,30,65,128,189,,
52,1.89E-08,0.064511632,0.07914445,49,8,0,81.28,3.95,E,2,4,10,25,43,94,152,232,152,
53,2.70E-08,0.056676397,0.0743246,106,5,0.3,66.2,4.466666667,E,1,4,10,16,33,73,131,206,,
54,2.97E-08,0.062434279,0.074534274,224,6,0.3,49.04,5.433333333,S,1,2,9,18,29,78,138,209,138,
55,1.53E-08,0.032102497,0.052163756,239,7,0.3,75.04,4.466666667,W,1,3,7,18,33,79,149,234,,
56,1.58E-08,0.033189352,0.062894585,116,17,0,89.08,5.366666667,E,1,1,10,17,32,79,152,246,152,
57,3.60E-08,0.03282015,0.028804745,112,14,0.3,86.22,4.883333333,E,2,2,28,46,69,114,173,247,,
58,2.81E-08,0.025640431,0.023066166,285,5,0,75.3,4.366666667,W,1,2,5,11,21,53,117,215,117,
59,4.10E-08,0.037410044,0.034236037,274,17,0.9,77.9,3.3,W,2,2,9,18,26,69,121,205,,
60,2.45E-08,0.044461459,0.054480123,60,7,0.3,74.78,3.7,E,2,3,12,22,34,86,154,242,,
61,5.13E-08,0.093182366,0.111960921,122,7,0.6,50.34,3.233333333,E,1,4,10,25,43,96,166,266,,
62,3.68E-08,0.066806396,0.079669401,271,8,0.6,51.64,4.4,W,2,7,16,25,49,104,178,284,,
63,2.18E-08,0.056140383,0.055657212,249,1,0.4,87,2.033333333,W,1,2,11,27,46,78,136,224,,
64,2.73E-08,0.057228678,0.072187428,140,2,0,76.34,2.716666667,S,2,5,11,22,29,66,116,199,,
65,1.57E-08,0.043260691,0.054242682,136,13,0,86.22,3.3,S,3,4,15,30,44,93,154,231,,
66,2.14E-08,0.027665516,0.016109182,239,6,0,56.06,5.6,W,1,3,9,14,26,57,114,178,,
67,1.59E-08,0.020593199,0.011012625,198,3,0,39.94,6,S,1,3,5,7,17,41,87,143,,
68,2.46E-08,0.05121572,0.032686936,73,2,0,75.04,4.15,E,2,6,12,35,58,122,185,266,,
69,3.09E-08,0.0641662,0.042130357,212,3,0.4,86.48,3.1,S,2,4,8,15,35,89,186,275,,
70,2.27E-08,0.034588102,0.020665365,148,3,0.3,66.98,5.333333333,S,1,1,10,20,37,74,136,215,,
71,2.41E-08,0.111734061,0.080740222,128,5,0,79.72,6.466666667,E,1,3,6,21,32,73,136,211,,
72,3.20E-08,0.148270728,0.103571691,152,4,0,46.96,4.2,S,1,2,10,21,35,97,171,254,,
73,2.69E-08,0.124820487,0.096319392,160,0,0.3,34.22,6.3,S,2,4,9,20,36,86,153,236,,
74,5.02E-08,0.232506731,0.168563042,82,2,0.7,25.64,5.133333333,E,1,2,9,21,34,101,162,256,162,
75,2.54E-08,0.025101509,0.018454907,216,2,0,57.88,5.366666667,S,1,1,7,20,39,94,141,247,,
76,3.20E-08,0.041324018,0.023536305,145,5,0.3,77.12,4.466666667,S,1,2,15,32,45,96,168,238,168,
77,1.74E-08,0.030157584,0.016862188,270,2,0,52.68,3.966666667,W,1,2,7,14,30,81,146,222,,
78,2.00E-08,0.216656916,0.242539506,20,4,0.6,55.02,4.466666667,N,1,1,7,13,31,75,124,169,124,
79,2.43E-08,0.243119585,0.285007571,239,8,0.5,64.9,5.266666667,W,1,2,7,24,38,79,132,202,,
80,2.21E-08,0.220854484,0.302190086,116,8,0.4,63.08,5.1,E,1,2,8,18,32,83,143,228,143,
81,9.87E-09,0.098816333,0.116876405,196,5,0,79.46,1.966666667,S,1,1,3,13,25,66,110,183,,
82,2.29E-08,0.087966596,0.104486007,289,10,0,54.24,3.666666667,W,1,2,13,28,44,93,181,275,181,
83,4.15E-08,0.159389208,0.168735627,161,6,0,88.04,2.833333333,S,2,8,19,32,59,126,217,313,,
84,2.07E-08,0.03249979,0.037467519,120,9,0,86.48,3.566666667,E,1,6,16,32,45,96,146,222,146,
85,1.84E-08,0.02877965,0.029788984,154,12,0,88.04,3.3,S,1,4,10,17,33,81,159,226,,
86,2.47E-08,0.022574839,0.021737735,243,9,0.3,73.74,4.033333333,W,1,4,9,23,40,86,145,228,145,
87,2.75E-08,0.029587338,0.026543661,254,20,0,74.78,3.4,W,3,6,14,34,64,126,199,272,,
88,2.76E-08,0.043291476,0.039498892,263,4,0.4,50.6,5.633333333,W,1,1,4,13,18,46,95,174,,
89,1.51E-08,0.027519486,0.037638264,170,7,0,63.08,3.6,S,1,2,5,11,20,43,94,168,,
90,4.38E-08,0.168503711,0.184002355,167,8,0,75.04,4.666666667,S,1,3,11,25,44,109,191,291,,
91,1.36E-08,0.092572738,0.192290885,212,10,0,40.46,3.6,S,1,3,6,23,44,96,186,280,,
92,1.15E-08,0.078847016,0.126394415,225,7,0.4,77.12,4.533333333,S,1,1,11,23,39,71,138,238,,
93,1.53E-08,0.104800418,0.167510634,117,6,0.5,83.88,4.4,E,2,4,14,28,56,106,184,270,,
94,1.21E-08,0.120961836,0.165134236,265,4,0.3,83.1,3.4,W,1,3,6,13,31,74,147,245,,
95,1.34E-08,0.145345378,0.15713467,121,5,0,76.34,3.516666667,E,2,4,6,13,29,61,121,203,,
96,1.67E-08,0.023588837,0.014198397,269,9,0,81.28,5.4,W,1,3,8,20,31,77,142,211,,
97,1.55E-08,0.013008311,0.013421965,106,3,0,69.06,4.383333333,E,1,4,10,17,27,68,132,190,,
98,2.67E-08,0.022382165,0.023685822,50,2,0.5,68.54,4,E,2,3,12,24,41,78,156,225,,
99,5.62E-09,0.026061701,0.028295305,168,5,0,80.24,5.25,S,2,4,15,35,55,107,192,268,,
