date,plotID,treeID,treeSp,treeDistance_m,treeGBH_cm,ba_all_cm2
5/31/16,20,20,NA,2,63.5,31256.26479
5/31/16,20,new,NA,2.6,16.5,2110.364707
5/31/16,20,7496?,NA,4.35,66.5,34279.37676
5/31/16,16,1634,NA,1.5,62.5,30279.56707
5/31/16,16,1635,NA,6,136.5,144429.1747
5/31/16,16,1616,NA,5.1,100.5,78292.78651
6/1/16,41,7884,NA,1.7,73,41308.11211
6/1/16,41,new,CoXa,11.2,32.5,8187.594936
6/1/16,41,7957,NA,8.4,"114.5,121",215115.7339
6/1/16,48,new,CoXa,3.2,"32,25,18",15293.84597
6/1/16,48,cannot find,canaco,2.7,"70,41,26,26,61.5,16",92795.97243
6/1/16,48,n661,NA,6.2,62.5,30279.56707
6/1/16,75,NA,NA,1.3,103.5,83036.74684
6/1/16,75,1039,NA,7.8,127.5,126011.4463
6/1/16,75,new,big bush,7,NA,NA
6/1/16,70,new,CoXa,6.5,91.5,64898.07498
6/1/16,70,550,NA,4.1,56,24308.92092
6/1/16,70,491,NA,5.4,114.5,101625.0097
6/1/16,46,246,NA,4.2,77,45959.05361
6/1/16,46,315,NA,2.4,106,87096.63119
6/1/16,46,316,NA,5.2,"137,23,23,22",157442.1214
6/1/16,47,307,NA,3.7,44,15007.03791
6/1/16,47,236,NA,6.7,93,67043.32175
6/1/16,47,238,NA,8.1,84,54695.07206
6/1/16,42,7976,NA,1.1,191,282784.9949
6/1/16,42,nn546,NA,3,49.5,18993.28236
6/1/16,42,new,gigante (Yuca),3.5,30.5,7210.89722
6/1/16,43,7,NA,2.2,89.5,62092.00694
6/1/16,43,12,NA,6.8,"27,29.5,25,27",22892.32165
6/1/16,43,7991,NA,5.3,144.5,161854.7022
6/2/16,101,new,sikinai,2.3,"18,5.5,8.5",3306.044251
6/2/16,101,1730,NA,7.1,50,19378.92293
6/2/16,101,2225?,NA,9.5,"41.5,66.5",47629.51677
6/2/16,115,2256,NA,2.1,200,310062.7668
6/2/16,115,can't find,CoXa,5.2,"74.5,20.5,15.5",48143.05822
6/2/16,115,2191,NA,10.8,"33,93,19",78283.09705
6/2/16,117,1925,NA,4.1,"33.5,90.5,49,187.5",363314.1091
6/2/16,117,2093?,NA,6.4,55.5,23876.77094
6/2/16,117,1926,NA,5.3,120.5,112554.7222
6/2/16,116,2098,NA,2.8,125.5,122089.1523
6/2/16,116,1934,NA,9.7,156,188642.1873
6/2/16,116,2201,NA,7.2,142,156302.6407
6/2/16,104,1677,NA,2.9,122.5,116321.9849
6/2/16,104,new,chalum,2.6,23,4100.580091
6/2/16,104,new,"\cuarumb\""""",5.65,30.5,7210.89722
6/2/16,118,2078,NA,1.1,39,11790.13671
6/2/16,118,new,"\palo verde\""""",3.7,"28.5,34",15257.02602
6/2/16,118,can't find placa,"\cuallavo\""""",9,114,100739.3929
6/2/16,97,can't find placa,"\guarumbo\""""",5.6,185,265297.4548
6/2/16,97,n2___,chalum,1.25,45.5,16047.68607
6/2/16,97,n22__,chalum,6.3,93.5,67766.15558
6/2/16,98,new,sikinai,2.7,"14,15,13.5",4676.134102
6/2/16,98,new,sin conegrito,4.2,"17.5,21.5",5957.080907
6/2/16,98,new,sikinai,5.1,34,8960.813961
6/2/16,103,1713,chalum,2.3,90,62787.71028
6/2/16,103,new,chalum,5.3,"18.5,13.5",4065.69803
6/2/16,103,1851,Alcornea,5.1,122,115374.3555
6/3/16,99,1450,NA,3.65,116,104305.1148
6/3/16,99,1451,NA,5.6,82.5,52759.11766
6/3/16,99,can't find placa,chalum,6.5,124,119188.1276
6/3/16,102,bush,caramomo,3.7,NA,NA
6/3/16,102,1721,NA,3.6,170,224020.349
6/3/16,102,new,veronica de peanna,3.6,15.5,1862.314493
6/3/16,100,1474,NA,3.5,230,410058.0091
6/3/16,100,can't find placa,chalum,3.7,170,224020.349
6/3/16,100,new,rabolt gato,2.1,11,937.9398696
6/3/16,73,1232,NA,4.85,131.5,134042.072
6/3/16,73,new,pacaya,5.45,25,4844.730731
6/3/16,73,can't find placa,canaco,8.6,"24.5,9.5,14,30",13848.17832
6/3/16,74,new,sikinai,4.3,"8.5,13,10,6.5,12,6",4368.009227
6/3/16,74,new,cuarumbo,5.7,49.5,18993.28236
6/3/16,74,new,sikinai,5.4,"20,7,23",7581.034648
6/3/16,71,653,NA,1.8,240,446490.3842
6/3/16,71,720,NA,7.5,180,251150.8411
6/3/16,71,719,NA,10.1,240,446490.3842
6/3/16,72,752,NA,2.2,190,279831.647
6/3/16,72,695,NA,7.6,160,198440.1708
6/3/16,72,can't find placa,"gualla, dead",2.8,67,34796.794
6/3/16,45,n2218,chalum,3.4,54,22603.5757
6/3/16,45,325,NA,2.6,165,211036.4707
6/3/16,45,264,NA,4.1,87.5,59347.95146
6/3/16,44,30,NA,10.5,78,47160.54683
6/3/16,44,7999,NA,2.6,200,310062.7668
6/3/16,44,8000,NA,6.5,120,111622.596
6/3/16,17,7729,NA,2,136.5,144429.1747
6/3/16,17,7687,NA,9.3,118,107932.8491
6/3/16,17,7685,NA,21.3,"85,50.5,19",78571.843
6/3/16,18,7676,NA,6.75,86,57330.60558
6/3/16,18,new,guava,3.2,"12,14.5,17",4986.196869
6/3/16,18,7722,NA,1.2,"8,8,8,6.5,9,9,9,7.5,7.5,7.5,8",5503.614111
6/4/16,39,3043,NA,5.3,81,50858.04532
6/4/16,39,3046,NA,7.3,147.5,168645.0768
6/4/16,39,3042,NA,1.5,115.5,103407.8706
6/4/16,38,3055,NA,1.9,165,211036.4707
6/4/16,38,new,capuli,8.7,"28,26.5,29.5",18266.57275
6/4/16,38,3068,NA,9.7,190,279831.647
6/4/16,37,3087,NA,8.6,325,818759.4936
6/4/16,37,3118,NA,6.8,99.5,76742.47268
6/4/16,37,3120,NA,4.5,90,62787.71028
6/4/16,52,3460,NA,3.5,123,117273.49
6/4/16,52,34__,chalum,6.85,29,6519.069672
6/4/16,52,3458,NA,1.5,90,62787.71028
6/4/16,65,4055,NA,1.8,120,111622.596
6/4/16,65,4054,NA,3.6,96.5,72184.55
6/4/16,65,4056,NA,4.5,112,97235.68367
6/5/16,4,1025,NA,1.9,106.5,87920.23542
6/5/16,4,n2318,NA,3.3,33.5,8699.198501
6/5/16,4,82?,NA,6.7,114,100739.3929
